Authority,Status,SubmittedDate,DC_Approved_Date,Final_Approved_Date,Final_Plot_Area,GrossPlotArea,NetPlotArea,Case_Type,Description,Circle,Zone,OrganizationName,District,DesignationName,Lattitude,Longitude,Usage,SubUsage,MaxBuildingHeight,Height,BuiltUpArea,MotagageArea,Units,Postcode
HMDA,Reject,3/1/2022,-1900.0,-,305.17,305.17,305.17,Addition/Alteration,Building Permission,,Zone-2 Ghatkesar,Peerzadiguda,Medchal-Malkajgiri,Planning Ofcr,17.411005,78.60274762,Residential,Residential Bldg/Apartment,15.0,17.5,354.79,16.69,2.0,500098
HMDA,Final Approved,6/6/2022,-2022.0,30/7/2022,316.05,334.44,316.05,New,Building Permission,,Zone-2 Ghatkesar,Pedda Amberpet,Ranga Reddy,Commissioner,17.36889644,78.58301646,Residential,Residential Bldg/Apartment,15.0,17.75,1095.93,90.84,5.0,500068
HMDA,Final Approved,3/1/2022,-2022.0,27/5/2022,334.45,334.45,334.45,New,Building Permission,,Zone-1 Medchal,Nizampet Municipal Corporation,Medchal-Malkajgiri,Commissioner,17.54166501,78.39382193,Residential,Residential Bldg/Apartment,14.99,17.99,1124.31,101.49,7.0,500090
DTCP,Final Approved,4/1/2022,-2022.0,1/2/2022,1426.39,1735.9,1426.39,New,Building Permission,,,GWMC,Warangal(Urban),City Planner,18.03763438,79.53765581,COMMERCIAL,Shop,14.95,14.95,6511.38,512.06,0.0,506371
DTCP,In process,26/5/2023,-1900.0,-,1436.56,1442.67,1436.56,New,Building Permission,,,KHAMMAM MUNICIPAL CORPORATION,Khammam,Technical Officer,17.26881162,80.1368937,RESIDENTIAL,Residential Bldg/Apartment,14.55,17.9,4169.75,365.49,35.0,507003
DTCP,DC Approved,6/6/2022,-2022.0,-,534.54,534.54,534.54,New,Building Permission,,,Pedda Amberpet,Rangareddy,Architect,17.31600936,78.61984226,RESIDENTIAL,Residential Bldg/Apartment,14.5,17.25,1530.84,132.52,10.0,501505
HMDA,Reject,4/1/2022,-1900.0,-,7989.36,7989.36,7989.36,New,Building Permission,,Zone-3 Shamshabad,Adibatla,Ranga Reddy,Planning Ofcr,17.23387615,78.56546648,Assembly,MultiPlex,18.3,18.3,28035.0,1401.78,0.0,
HMDA,Final Approved,6/6/2022,-2022.0,19/12/2022,334.31,334.31,334.31,New,Building Permission,,Zone-4 Shankerpally,Ameenpur,Sanga Reddy,Commissioner,17.5237392,78.30201995,Residential,Residential Bldg/Apartment,14.95,17.7,1126.14,120.93,10.0,502032
HMDA,Final Approved,4/1/2022,-2022.0,5/5/2022,323.37,323.37,323.37,New,Building Permission,,Zone-4 Shankerpally,Ameenpur,Sanga Reddy,Commissioner,17.51532241,78.34023978,Residential,Residential Bldg/Apartment,14.98,17.98,1099.83,137.54,10.0,500049
DTCP,Final Approved,6/6/2022,-2022.0,2/8/2022,627.09,627.09,627.09,New,Building Permission,,,KHAMMAM MUNICIPAL CORPORATION,Khammam,Commissioner,17.229506,80.141229,RESIDENTIAL,Residential Bldg/Apartment,14.25,17.7,1907.43,166.26,15.0,507002
HMDA,Final Approved,4/1/2022,-2022.0,26/4/2022,481.61,481.61,481.61,New,Building Permission,,Zone-4 Shankerpally,Ameenpur,Sanga Reddy,Commissioner,17.53139204,78.32464773,Residential,Residential Bldg/Apartment,14.99,17.99,1623.1,207.29,10.0,502325
DTCP,In process,26/5/2023,-1900.0,-,3910.38,4082.22,3910.38,New,Layout with Housing Under Gated Community (With Compound Wall),,,GWMC,Warangal(Urban),Site Inspection,17.95036745,79.59261669,RESIDENTIAL,Individual Row House,6.0,6.0,3021.48,0.0,30.0,506166
DTCP,Reject,4/1/2022,-1900.0,-,216.6,253.17,216.6,New,Building Permission,,,Chityal,Nalgonda,Commissioner,17.23468034,79.12513852,COMMERCIAL,Retail Shop,6.0,9.66,387.8,25.86,0.0,508114
DTCP,DC Approved,27/5/2023,-2023.0,-,29427.05,29427.05,29427.05,New,Layout with Open Plot,,,Kalwakurthy,Nagarkurnool,Architect,16.65891672,78.51332908,RESIDENTIAL,Residential Bldg/Apartment,0.0,0.0,0.0,0.0,0.0,509234
DTCP,Reject,6/6/2022,-1900.0,-,715.78,805.94,715.78,New,Occupancy Certificate,,,KARIMNAGAR MUNICIPAL CORPORATION,Karimnagar,Commissioner,18.42434416,79.1131996,RESIDENTIAL,,15.0,0.0,0.0,0.0,0.0,505215
DTCP,In process,27/5/2023,-1900.0,-,667.29,672.31,667.29,New,Building Permission,,,Dundigal,Medchal-Malkajgiri,Technical Officer,17.565998,78.439041,RESIDENTIAL,Residential Bldg/Apartment,14.95,17.85,1983.6,169.08,15.0,500043
DTCP,In process,27/5/2023,-1900.0,-,213.1,213.1,213.1,New,Building Permission,,,Manikonda,Rangareddy,Site Inspection,17.40067683,78.3762261,RESIDENTIAL,Residential Bldg/Apartment,8.97,11.47,515.72,40.0,6.0,500089
DTCP,Reject,6/6/2022,-1900.0,-,557.52,557.52,557.52,New,Occupancy Certificate,,,KARIMNAGAR MUNICIPAL CORPORATION,Karimnagar,Commissioner,18.42661156,79.13293233,RESIDENTIAL,,15.0,0.0,0.0,0.0,0.0,505001
HMDA,Final Approved,4/1/2022,-2022.0,20/2/2022,248.87,250.8,248.87,New,Building Permission,,Zone-2 Ghatkesar,Nagaram,Medchal-Malkajgiri,Commissioner,17.481784,78.627034,Residential,Residential Bldg/Apartment,12.0,15.45,797.88,68.83,8.0,500083
HMDA,Reject,6/6/2022,-1900.0,-,610.6,666.1,610.6,New,Occupancy Certificate,,Zone-4 Shankerpally,Bandlaguda Jagir Municipal Corporation,Ranga Reddy,Planning Ofcr,17.36172209,78.38808589,Residential,,14.9,0.0,0.0,0.0,0.0,500091
DTCP,Shortfall,27/5/2023,-1900.0,-,1449.83,1449.83,1449.83,New,Building Permission,,,Gajwel-Pragnapur,Siddipet,Architect,17.84071909,78.68919428,INSTITUTIONAL & EDUCATIONAL,Primary School,7.7,7.7,814.28,118.03,0.0,502278
HMDA,Final Approved,6/6/2022,-2022.0,11/7/2022,390.19,390.19,390.19,New,Occupancy Certificate,,Zone-4 Shankerpally,Bandlaguda Jagir Municipal Corporation,Ranga Reddy,Planning Ofcr,17.35164911,78.39362719,Residential,,15.0,0.0,0.0,0.0,0.0,500093
DTCP,DC Approved,27/5/2023,-2023.0,-,775.13,775.13,775.13,Addition/Alteration,Building Permission,,,Manikonda,Rangareddy,Architect,17.397571,78.384458,RESIDENTIAL,Residential Bldg/Apartment,14.38,17.73,3201.97,40.02,18.0,500089
HMDA,Reject,7/6/2022,-1900.0,-,455.15,455.15,455.15,New,Occupancy Certificate,,Zone-4 Shankerpally,Bandlaguda Jagir Municipal Corporation,Ranga Reddy,Planning Ofcr,17.35166066,78.39383213,Residential,,15.0,0.0,0.0,0.0,0.0,500093
DTCP,DC Approved,27/5/2023,-2023.0,-,380.71,380.71,380.71,New,Building Permission,,,Nalgonda,Nalgonda,Architect,17.06318837,79.26657262,RESIDENTIAL,Residential Bldg/Apartment,11.4,14.6,517.23,45.4,4.0,508001
DTCP,In process,27/5/2023,-1900.0,-,18948.39,18948.39,18948.39,New,Layout with Open Plot,,,Adilabad,Adilabad,Technical Officer,19.64012263,78.50105438,RESIDENTIAL,Residential Bldg/Apartment,0.0,0.0,0.0,0.0,0.0,504002
DTCP,Final Approved,5/1/2022,-2022.0,11/10/2022,1425.17,1434.18,1425.17,New,Building Permission,,,GWMC,Warangal(Urban),City Planner,18.019809,79.555375,RESIDENTIAL,Residential Bldg/Apartment,14.21,17.95,4983.9,328.22,30.0,506009
DTCP,DC Approved,5/1/2022,-2022.0,-,254.84,254.84,254.84,New,Building Permission,,,Bandlaguda Jagir Municipal Corporation,Rangareddy,Architect,17.33998721,78.38940493,RESIDENTIAL,Residential Bldg/Apartment,8.99,11.99,633.79,47.23,6.0,500086
HMDA,In process,27/5/2023,-1900.0,-,397.98,397.98,397.98,New,Building Permission,,Zone-2 Ghatkesar,Peerzadiguda,Medchal-Malkajgiri,Junior Planning Officer,17.4077591,78.60600395,Residential,Residential Bldg/Apartment,15.0,17.95,1427.75,125.0,10.0,500098
DTCP,Final Approved,5/1/2022,-2022.0,1/11/2022,12949.53,12949.53,12949.53,New,Layout with Open Plot,,,Atmakur,Wanaparthy,Commissioner,16.33240194,77.81476252,RESIDENTIAL,Residential Bldg/Apartment,0.0,0.0,0.0,0.0,0.0,509131
DTCP,In process,27/5/2023,-1900.0,-,682.56,682.56,682.56,Revision,Building Permission,,,Bandlaguda Jagir Municipal Corporation,Rangareddy,Commissioner,17.356959,78.365484,RESIDENTIAL,Residential Bldg/Apartment,14.99,17.99,2347.0,184.66,10.0,500008
DTCP,Final Approved,6/1/2022,-2022.0,31/3/2022,1777.64,1903.36,1777.64,New,Building Permission,,,Sircilla,Rajanna-Sircilla,Commissioner,18.39092351,78.79059007,ASSEMBLY,Marriage Hall,6.85,6.85,550.08,59.27,0.0,505301
HMDA,Final Approved,7/6/2022,-2022.0,28/6/2022,1388.68,1388.68,1388.68,New,Occupancy Certificate,,Zone-4 Shankerpally,Bandlaguda Jagir Municipal Corporation,Ranga Reddy,Planning Ofcr,17.35277,78.369341,Residential,,14.45,0.0,0.0,0.0,0.0,500086
DTCP,Final Approved,6/1/2022,-2022.0,23/4/2022,40.02,40.02,40.02,New,Building Permission,,,Nizamabad,Nizamabad,Commissioner,18.67323523,78.09486901,COMMERCIAL,Retail Shop,5.8,9.2,81.34,5.48,0.0,503001
DTCP,In process,27/5/2023,-1900.0,-,317.51,337.18,317.51,New,Building Permission,,,Ieeja,Jogulamba-Gadwal,Site Inspection,16.01109055,77.66076913,COMMERCIAL,Shop,3.45,3.45,198.69,15.4,0.0,509127
DTCP,Final Approved,6/1/2022,-2022.0,23/4/2022,39.26,39.26,39.26,New,Building Permission,,,Nizamabad,Nizamabad,Commissioner,18.67322896,78.09485409,COMMERCIAL,Retail Shop,5.8,9.31,78.92,5.36,0.0,503001
HMDA,In process,27/5/2023,-1900.0,-,1790.93,2023.15,1790.93,New,Building Permission,,Zone-2 Ghatkesar,Turkayamjal,Ranga Reddy,Junior Planning Officer,17.27256813,78.63522867,Commercial,Other Commercial Building,9.0,9.0,712.96,71.34,0.0,501511
DTCP,Final Approved,27/5/2023,-1900.0,3/6/2023,1692.61,1726.55,1692.61,New,Occupancy Certificate,,,Jagityal,Jagityal,Commissioner,18.77526526,78.90732417,RESIDENTIAL,,14.95,0.0,2867.2,0.0,0.0,505300
DTCP,In process,27/5/2023,-1900.0,-,236.39,241.09,236.39,Revision,Building Permission,,,GWMC,Warangal(Urban),City Planner,17.98749405,79.53655329,RESIDENTIAL,Residential Bldg/Apartment,14.84,17.99,864.67,70.92,5.0,506004
DTCP,Shortfall,27/5/2023,-1900.0,-,38.99,38.99,38.99,New,Building Permission,,,Huzurabad,Karimnagar,Architect,18.20193116,79.39984967,COMMERCIAL,Other Commerical Building,5.5,8.75,81.92,5.76,0.0,505498
DTCP,Final Approved,7/6/2022,-2022.0,26/7/2022,290.19,299.51,290.19,New,Building Permission,,,Mancherial,Mancherial,Commissioner,18.8719133,79.44158804,COMMERCIAL,Shop,9.0,12.2,531.4,48.81,0.0,504200
DTCP,Shortfall,27/5/2023,-1900.0,-,4007.36,4299.06,4007.36,New,Building Permission,,,Mahaboobnagar,Mahaboobnagar,Architect,16.74606597,77.99000987,COMMERCIAL,Shop,14.95,14.95,10757.76,759.13,0.0,509001
HMDA,Reject,6/1/2022,-1900.0,-,398.01,398.01,398.01,New,Building Permission,,Zone-2 Ghatkesar,Peerzadiguda,Medchal-Malkajgiri,Planning Ofcr,17.39914551,78.6123239,Residential,Residential Bldg/Apartment,15.0,17.95,1466.88,181.52,10.0,500098
HMDA,Final Approved,6/1/2022,-2022.0,28/3/2022,355.33,361.87,355.33,New,Building Permission,,Zone-2 Ghatkesar,Dammaiguda,Medchal-Malkajgiri,Commissioner,17.502414,78.595694,Residential,Residential Bldg/Apartment,14.95,17.9,1244.71,163.39,10.0,500083
DTCP,DC Approved,6/1/2022,-2022.0,-,836.1,836.1,836.1,New,Building Permission,,,Pedda Amberpet,Rangareddy,Architect,17.36135874,78.61594002,RESIDENTIAL,Residential Bldg/Apartment,6.45,6.45,638.64,64.77,2.0,501505
DTCP,In process,27/5/2023,-1900.0,-,1121.83,1225.96,1121.83,New,Building Permission,,,Siddipet,Siddipet,Commissioner,18.07266904,78.85865923,RESIDENTIAL,Residential Bldg/Apartment,3.5,3.5,46.0,4.61,1.0,502103
DTCP,Final Approved,7/6/2022,-2022.0,27/7/2022,125.27,125.27,125.27,New,Building Permission,,,Mahaboobnagar,Mahaboobnagar,Commissioner,16.753323,77.994023,COMMERCIAL,Shop,8.85,12.26,276.71,20.8,0.0,509001
DTCP,In process,28/5/2023,-1900.0,-,32302.31,32302.31,32302.31,New,Layout with Housing Under Gated Community (With Compound Wall),,,Ramagundam Municipal Corporation,Peddapally,DTCP1,18.75261837,79.49289965,RESIDENTIAL,Bungalow,7.2,7.2,4299.7,0.0,10.0,505209
HMDA,Reject,7/6/2022,-1900.0,-,332.59,332.59,332.59,New,Occupancy Certificate,,Zone-4 Shankerpally,Ameenpur,Sanga Reddy,Planning Ofcr,17.5303913,78.32141151,RESIDENTIAL,,12.0,0.0,0.0,0.0,0.0,502325
DTCP,In process,28/5/2023,-1900.0,-,944.62,944.62,944.62,New,Building Permission,,,GWMC,Warangal(Urban),Commissioner,18.01920774,79.53723498,RESIDENTIAL,Residential Bldg/Apartment,14.95,17.95,2537.57,208.84,20.0,506009
DTCP,In process,28/5/2023,-1900.0,-,528.05,528.05,528.05,New,Building Permission,,,KHAMMAM MUNICIPAL CORPORATION,Khammam,Commissioner,17.26251657,80.13926186,RESIDENTIAL,Residential Bldg/Apartment,14.25,17.6,1454.35,126.35,8.0,507003
HMDA,Final Approved,7/1/2022,-2022.0,29/4/2022,376.26,376.26,376.26,New,Building Permission,,Zone-4 Shankerpally,Bandlaguda Jagir Municipal Corporation,Ranga Reddy,Commissioner,17.345678,78.384833,Residential,Residential Bldg/Apartment,14.99,17.99,1344.07,169.3,10.0,500086
HMDA,Reject,7/6/2022,-1900.0,-,320.95,320.95,320.95,New,Occupancy Certificate,,Zone-4 Shankerpally,Ameenpur,Sanga Reddy,Planning Ofcr,17.53086711,78.32433751,Residential,,12.0,0.0,0.0,0.0,0.0,502325
HMDA,In process,28/5/2023,-1900.0,-,8403.33,8403.33,8403.33,New,Building Permission,,Zone-1 Medchal,Dundigal,Medchal-Malkajgiri,Assistant Planning Officer,17.59564,78.411171,Residential,Residential Bldg/Apartment,17.69,17.69,28333.2,2032.71,49.0,
DTCP,Final Approved,7/6/2022,-2022.0,24/6/2022,624.06,624.06,624.06,New,Occupancy Certificate,,,Ameenpur,Sangareddy,Commissioner,17.53071594,78.34796624,RESIDENTIAL,,15.0,0.0,0.0,0.0,0.0,502325
DTCP,Reject,29/5/2023,-1900.0,-,398.19,398.19,398.19,New,Occupancy Certificate,,,Kamareddy,Kamareddy,Municipality Commissioner,18.31014049,78.34130802,RESIDENTIAL,Residential Bldg/Apartment,12.0,0.0,811.96,83.95,6.0,503100
HMDA,Reject,7/6/2022,-1900.0,-,332.59,334.37,332.59,New,Occupancy Certificate,,Zone-4 Shankerpally,Ameenpur,Sanga Reddy,Planning Ofcr,17.53038207,78.32140335,Residential,Residential Bldg/Apartment,14.99,0.0,1111.02,0.0,10.0,502325
HMDA,In process,29/5/2023,-1900.0,-,8095.57,8095.57,8095.57,New,Layout with Open Plot,,Zone-1 Medchal,Medchal,Medchal-Malkajgiri,Junior Planning Officer,17.6417081,78.50207435,Residential,Residential Bldg/Apartment,0.0,0.0,0.0,0.0,0.0,501401
DTCP,Reject,7/6/2022,-1900.0,-,691.0,690.65,691.0,New,Occupancy Certificate,,,KARIMNAGAR MUNICIPAL CORPORATION,Karimnagar,Commissioner,18.44473621,79.1220197,RESIDENTIAL,,14.95,0.0,0.0,0.0,0.0,505215
DTCP,In process,29/5/2023,-1900.0,-,594.2,594.2,594.2,New,Building Permission,,,Nagarkurnool,Nagarkurnool,Commissioner,16.49322851,78.30375547,RESIDENTIAL,Residential Bldg/Apartment,15.0,17.5,1788.37,156.1,15.0,509215
HMDA,Final Approved,12/1/2022,-2022.0,28/3/2022,209.0,209.0,209.0,New,Building Permission,,Zone-2 Ghatkesar,Nagaram,Medchal-Malkajgiri,Commissioner,17.476771,78.6226,Residential,Residential Bldg/Apartment,12.0,15.45,633.7,54.43,4.0,500083
DTCP,Reject,7/6/2022,-1900.0,-,742.3,737.06,742.3,New,Occupancy Certificate,,,KARIMNAGAR MUNICIPAL CORPORATION,Karimnagar,Commissioner,18.43239263,79.11429661,RESIDENTIAL,,14.95,0.0,0.0,0.0,0.0,505215
HMDA,Shortfall,12/1/2022,-1900.0,-,396.54,398.47,396.54,Addition/Alteration,Building Permission,,Zone-4 Shankerpally,Ameenpur,Sanga Reddy,Architect,17.5170207,78.32318626,Residential,Residential Bldg/Apartment,14.75,17.96,1409.03,0.0,10.0,500050
DTCP,Reject,8/6/2022,-1900.0,-,12112.81,12112.81,12112.81,New,Layout with Open Plot,,,Nagarkurnool,Nagarkurnool,Commissioner,16.47089478,78.34975046,RESIDENTIAL,Residential Bldg/Apartment,0.0,0.0,0.0,0.0,0.0,509209
HMDA,In process,29/5/2023,-1900.0,-,250.76,250.76,250.76,New,Occupancy Certificate,,Zone-3 Shamshabad,Badangpet Municipal Corporation,Ranga Reddy,COMMISSIONER,17.30166952,78.57103281,Residential,,12.0,0.0,633.6,0.0,0.0,500070
DTCP,Final Approved,8/1/2022,-2022.0,27/2/2022,316.06,321.82,316.06,New,Building Permission,,,Luxettipet,Mancherial,Commissioner,18.89029783,79.20727441,COMMERCIAL,Shop,9.47,12.22,475.45,35.95,0.0,504215
HMDA,Final Approved,8/6/2022,-2022.0,4/7/2022,932.14,932.14,932.14,Revision,Building Permission,,Zone-2 Ghatkesar,Boduppal Municipal Corporation,Medchal-Malkajgiri,Commissioner,17.41969477,78.6027992,Residential,Residential Bldg/Apartment,14.9,17.4,2601.05,317.43,20.0,500098
HMDA,In process,29/5/2023,-1900.0,-,743.72,743.72,743.72,New,Occupancy Certificate,,Zone-1 Medchal,Kompally,Medchal-Malkajgiri,DIRECTOR,17.53575,78.480671,Residential,,15.0,0.0,1727.45,0.0,0.0,500100
DTCP,Final Approved,8/1/2022,-2022.0,4/6/2022,493.66,529.92,493.66,New,Building Permission,,,Jagityal,Jagityal,Commissioner,18.77876492,78.91485647,RESIDENTIAL,Residential Bldg/Apartment,11.6,14.5,1348.34,114.17,8.0,505300
DTCP,Final Approved,8/6/2022,-1900.0,23/6/2022,349.44,337.41,349.44,New,Occupancy Certificate,,,KARIMNAGAR MUNICIPAL CORPORATION,Karimnagar,Commissioner,18.42235722,79.12301982,RESIDENTIAL,,12.0,0.0,0.0,0.0,0.0,505001
HMDA,Reject,8/6/2022,-1900.0,-,481.19,487.51,481.19,New,Building Permission,,Zone-4 Shankerpally,Manikonda,Ranga Reddy,Planning Ofcr,17.39357858,78.37909277,Residential,Residential Bldg/Apartment,14.85,17.6,1540.44,126.72,10.0,500089
DTCP,Shortfall,8/1/2022,-1900.0,-,621.78,621.78,621.78,New,Building Permission,,,GWMC,Warangal(Urban),Architect,17.97867224,79.57232573,RESIDENTIAL,Bungalow,3.6,3.6,134.59,15.19,1.0,506005
DTCP,Final Approved,8/6/2022,-2022.0,23/9/2022,87824.13,87824.13,87824.13,New,Layout with Open Plot,,,Thorrur,Mahabubabad,Commissioner,17.58769153,79.67776387,RESIDENTIAL,Residential Bldg/Apartment,0.0,0.0,0.0,0.0,0.0,506163
DTCP,DC Approved,8/1/2022,-2022.0,-,543.39,543.39,543.39,New,Building Permission,,,GWMC,Warangal(Urban),Architect,18.00822723,79.52959229,RESIDENTIAL,Residential Bldg/Apartment,14.8,17.95,1361.92,116.81,10.0,506004
DTCP,Shortfall,8/6/2022,-1900.0,-,748.29,748.29,748.29,New,Building Permission,,,Ramagundam Municipal Corporation,Peddapally,Architect,18.74972511,79.48396528,RESIDENTIAL,Residential Bldg/Apartment,14.5,17.8,2751.12,249.54,15.0,505209
DTCP,DC Approved,8/6/2022,-2022.0,-,167.11,167.11,167.11,New,Building Permission,,,Huzurabad,Karimnagar,Architect,18.19357219,79.40014684,COMMERCIAL,Shop,9.0,12.4,367.95,31.28,0.0,505498
HMDA,Closed,8/1/2022,-1900.0,-,2528.6,2654.87,2528.6,New,Building Permission,,Zone-1 Medchal,Kompally,Medchal-Malkajgiri,Planning Ofcr,17.53274677,78.48268105,Residential,Residential Bldg/Apartment,29.99,33.59,14382.04,978.89,60.0,500100
HMDA,Final Approved,29/5/2023,-2023.0,12/6/2023,747.99,747.99,747.99,New,Occupancy Certificate,,Zone-4 Shankerpally,Narsingi,Ranga Reddy,Planning Ofcr,17.37738297,78.36046256,Residential,,14.95,0.0,2247.4,0.0,0.0,500008
DTCP,Reject,8/6/2022,-1900.0,-,747.76,803.19,747.76,New,Building Permission,,,Siddipet,Siddipet,Commissioner,18.12124091,78.84972042,RESIDENTIAL,Residential Bldg/Apartment,11.6,14.77,1709.0,0.0,4.0,502103
DTCP,In process,29/5/2023,-1900.0,-,527.89,527.89,527.89,New,Occupancy Certificate,,,Dundigal,Medchal-Malkajgiri,Site Inspection,17.5450486,78.39191787,RESIDENTIAL,Residential Bldg/Apartment,14.95,0.0,1231.55,130.33,15.0,500090
HMDA,Final Approved,11/1/2022,-2022.0,5/5/2022,380.68,384.54,380.68,New,Building Permission,,Zone-1 Medchal,Dundigal,Medchal-Malkajgiri,Commissioner,17.547399,78.388155,Residential,Residential Bldg/Apartment,14.95,17.45,1359.54,169.4,10.0,500090
HMDA,Final Approved,8/6/2022,-2022.0,22/6/2022,316.96,316.96,316.96,New,Occupancy Certificate,,Zone-1 Medchal,Nizampet Municipal Corporation,Medchal-Malkajgiri,Planning Ofcr,17.54346069,78.38553284,Residential,,14.99,0.0,0.0,0.0,0.0,500090
HMDA,Final Approved,11/1/2022,-2022.0,5/5/2022,384.39,386.64,384.39,New,Building Permission,,Zone-1 Medchal,Dundigal,Medchal-Malkajgiri,Commissioner,17.547367,78.388438,Residential,Residential Bldg/Apartment,14.95,17.45,1364.54,170.25,10.0,500090
HMDA,Final Approved,8/6/2022,-2022.0,22/6/2022,316.96,316.96,316.96,New,Occupancy Certificate,,Zone-1 Medchal,Nizampet Municipal Corporation,Medchal-Malkajgiri,Planning Ofcr,17.54359752,78.38556812,Residential,,14.99,0.0,0.0,0.0,0.0,500090
HMDA,DC Approved,8/6/2022,-2022.0,-,17536.75,19479.06,17536.75,New,Building Permission,,Zone-4 Shankerpally,Narsingi,Ranga Reddy,Architect,17.39895587,78.35423831,Commercial,Commercial Bldg,161.1,161.1,217834.37,15261.13,0.0,500089
DTCP,In process,29/5/2023,-1900.0,-,203.31,208.96,203.31,New,Building Permission,,,Wanapartrhy,Wanaparthy,Site Inspection,16.35931171,78.06114261,COMMERCIAL,Shop,11.0,14.1,440.54,37.16,0.0,509103
HMDA,Final Approved,8/6/2022,-2022.0,22/6/2022,334.4,332.59,334.4,New,Occupancy Certificate,,Zone-1 Medchal,Nizampet Municipal Corporation,Medchal-Malkajgiri,Planning Ofcr,17.54454173,78.38696386,Residential,,14.99,0.0,0.0,0.0,0.0,500090
DTCP,Final Approved,29/5/2023,-2023.0,5/6/2023,398.0,436.18,398.0,New,Building Permission,,,KHAMMAM MUNICIPAL CORPORATION,Khammam,Commissioner,17.25731125,80.16845165,RESIDENTIAL,Residential Bldg/Apartment,11.6,14.75,1222.23,104.38,6.0,507002
DTCP,Shortfall,12/1/2022,-1900.0,-,394.82,418.05,394.82,New,Building Permission,,,Tandur,Vikarabad,Architect,17.25620698,77.59166457,RESIDENTIAL,Residential Bldg/Apartment,11.92,14.92,1157.08,96.01,8.0,501141
DTCP,In process,29/5/2023,-1900.0,-,351.07,370.08,351.07,New,Building Permission,,,GWMC,Warangal(Urban),Technical Officer,18.00970988,79.55675351,RESIDENTIAL,Residential Bldg/Apartment,11.85,15.0,930.65,83.57,4.0,506009
DTCP,Shortfall,8/6/2022,-1900.0,-,605.72,605.72,605.72,New,Building Permission,,,Kamareddy,Kamareddy,Architect,18.33120637,78.32605069,COMMERCIAL,Commerical Bldg,12.0,14.8,1127.17,93.45,0.0,503100
HMDA,Final Approved,13/1/2022,-2022.0,16/3/2022,1094.79,1151.08,1094.79,New,Building Permission,,Zone-1 Medchal,Thumkunta,Medchal-Malkajgiri,Commissioner,17.572499,78.55045,Residential,Residential Bldg/Apartment,14.95,17.95,3749.72,268.68,25.0,500078
HMDA,Final Approved,13/1/2022,-2022.0,16/3/2022,498.23,498.23,498.23,Addition/Alteration,Building Permission,,Zone-1 Medchal,Kompally,Medchal-Malkajgiri,Commissioner,17.542748,78.4797,Residential,Residential Bldg/Apartment,15.0,17.65,670.12,29.28,1.0,500100
DTCP,Reject,8/6/2022,-1900.0,-,8977.35,8977.35,8977.35,New,Layout with Open Plot,,,GADWAL,Jogulamba-Gadwal,Commissioner,16.221965,77.786457,RESIDENTIAL,Residential Bldg/Apartment,0.0,0.0,0.0,0.0,0.0,509125
HMDA,Final Approved,13/1/2022,-2022.0,2/3/2022,436.15,438.06,436.15,Addition/Alteration,Building Permission,,Zone-1 Medchal,Kompally,Medchal-Malkajgiri,Commissioner,17.542059,78.479526,Residential,Residential Bldg/Apartment,15.0,17.65,544.3,23.49,1.0,500100
HMDA,Final Approved,8/6/2022,-2022.0,22/6/2022,332.43,332.43,332.43,New,Occupancy Certificate,,Zone-1 Medchal,Nizampet Municipal Corporation,Medchal-Malkajgiri,Planning Ofcr,17.54354052,78.38704296,Residential,,14.99,0.0,0.0,0.0,0.0,500090
HMDA,Reject,13/1/2022,-1900.0,-,548.46,548.46,548.46,New,Building Permission,,Zone-2 Ghatkesar,Turkayamjal,Ranga Reddy,Planning Ofcr,17.27436876,78.58278129,Residential,Residential Bldg/Apartment,14.9,17.9,1755.49,151.85,15.0,501511
DTCP,Reject,14/1/2022,-1900.0,-,759.02,759.02,759.02,Addition/Alteration,Building Permission,,,Badepally(Jadcherla),Mahaboobnagar,Commissioner,16.755119,78.1480394,COMMERCIAL,Shop,9.45,9.45,923.57,65.56,0.0,509301
DTCP,Final Approved,8/6/2022,-2022.0,6/7/2022,4355.92,4355.92,4355.92,New,Layout with Open Plot,,,Nizamabad,Nizamabad,Commissioner,18.66665623,78.12638302,RESIDENTIAL,Residential Bldg/Apartment,0.0,0.0,0.0,0.0,0.0,503003
HMDA,Reject,8/6/2022,-1900.0,-,127.89,127.89,127.89,New,Building Permission,,Zone-1 Medchal,Toopran,Medak District,Planning Ofcr,17.83497401,78.48005577,Commercial,Shop,3.66,3.66,60.16,9.53,0.0,502334
HMDA,Shortfall,29/5/2023,-1900.0,-,325.39,334.39,325.39,New,Occupancy Certificate,,Zone-2 Ghatkesar,Turkayamjal,Ranga Reddy,Architect,17.25482394,78.5836254,Residential,Residential Bldg/Apartment,15.0,0.0,941.4,116.79,10.0,501511
DTCP,In process,29/5/2023,-1900.0,-,381.89,389.19,381.89,New,Building Permission,,,GWMC,Warangal(Urban),City Planner,18.0025438,79.55251924,RESIDENTIAL,Residential Bldg/Apartment,12.0,12.0,804.5,85.37,4.0,506001
HMDA,Reject,8/6/2022,-1900.0,-,1102.69,1102.69,1102.69,New,Building Permission,,Zone-3 Shamshabad,Thukkuguda,Ranga Reddy,Planning Ofcr,17.21965928,78.4626515,Residential,Bungalow,7.65,7.65,664.64,68.72,2.0,
